step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
181,CASH_IN,125067.00400962902,sdv-pii-uxmex,1015105.6789452725,4877460.444172396,sdv-pii-c1x30,3389207.9933740585,753376.3723360172,0,0
37,CASH_OUT,15299.961725072804,sdv-pii-0yst1,70066.09379010729,135106.16082621453,sdv-pii-1iy3u,980617.2061642369,111.4532796025303,0,0
381,CASH_IN,164899.59327908498,sdv-pii-w30fe,335.4628229022615,205208.4591436053,sdv-pii-kv19v,716642.8747372603,3078.0407057015004,0,0
330,CASH_OUT,83393.84815399,sdv-pii-9mgpj,306911.8128001567,55276.0617667795,sdv-pii-86wci,44939.086233857364,0.23428400352770512,0,0
327,PAYMENT,335812.3450758737,sdv-pii-0jnrq,16651.385739916645,155142.12871619652,sdv-pii-4qtrr,240082.92971586005,0.12391847299432356,0,0
204,CASH_OUT,177055.0717926169,sdv-pii-q5mcs,15437.347158192786,11534.400173907234,sdv-pii-vckh8,1272703.79095601,9561.83165134602,0,0
279,PAYMENT,1017.5211962428701,sdv-pii-h67gp,6030.992925918179,4536746.298275491,sdv-pii-ni95j,410513.8682297706,0.00016284747445240811,0,0
223,CASH_IN,353212.8725483768,sdv-pii-5komi,3423757.1785931895,11797583.295679798,sdv-pii-6oa5p,7345312.269603224,1919388.5521978398,0,0
16,PAYMENT,31384.65726046878,sdv-pii-q6qa0,267559.06488211546,1333767.1741351,sdv-pii-iqnc3,143002.38087839988,0.0,0,0
363,TRANSFER,64221.58048452347,sdv-pii-2gqjx,147.95429583809258,465.8263693450629,sdv-pii-eovqt,331918.3629133482,0.14879155318025428,0,0
108,CASH_OUT,545.3325915252364,sdv-pii-tx93w,293192.67242532625,3638676.9166090065,sdv-pii-tm0sb,976697.8640482088,996.9098096715388,0,0
62,CASH_OUT,11696.584661386825,sdv-pii-vaulb,6184812.031872178,6164171.674498786,sdv-pii-dvp59,977511.9666962249,202.95779000934758,0,0
1,CASH_IN,52935.9975586463,sdv-pii-n1aih,2617261.829991119,10681339.17186828,sdv-pii-kvjar,1058278.9828360693,741.220229984343,0,0
247,PAYMENT,340.9980370496474,sdv-pii-5yv1j,1771279.1785435593,14196632.093608648,sdv-pii-84exl,3452.9679117117116,2.508379303505817e-07,0,0
94,PAYMENT,175246.91940689817,sdv-pii-yqwhf,13587.306027732102,89169.31332226029,sdv-pii-67vs6,2678926.26825958,655707.3933811403,0,0
151,TRANSFER,51280.452587160384,sdv-pii-93jei,920900.6623164464,1134225.583072599,sdv-pii-0suqb,8237.42004356444,0.0,0,0
455,CASH_OUT,195588.471177435,sdv-pii-5v8az,892283.1880409447,525196.9876019998,sdv-pii-kzsh0,879506.6752678375,6.019982572618491,0,0
53,TRANSFER,0.0,sdv-pii-y5f43,1218199.975526719,2230630.1672376394,sdv-pii-0d89o,150414.7846388042,0.0,0,0
177,PAYMENT,4518.358062175988,sdv-pii-vs3w3,5857.385926127215,888385.9067938117,sdv-pii-20jld,451925.6854321895,0.0029368598932812628,0,0
67,CASH_IN,626139.1118894948,sdv-pii-c0fxa,120552.87461839664,1726991.3320521377,sdv-pii-d3qwq,9011421.898968684,14765077.81608936,0,0
473,CASH_IN,1155148.1196248676,sdv-pii-7rgvs,1960147.9863705484,2091238.9189161921,sdv-pii-2qtub,12385215.252185326,15647236.640942818,0,0
